,Intensidad,Magnitud,GAP
0,4.3,4.5,65.0
1,2.0,4.5,65.0
2,2.0,5.0,31.0
3,4.3,5.0,65.0
4,6.7,6.0,36.0
5,4.8,4.8,62.0
6,2.0,4.6,67.0
7,3.4,4.6,77.0
8,4.1,5.1,64.0
9,3.4,4.4,73.0
10,4.1,4.4,79.0
11,3.0,4.4,73.0
12,4.6,5.7,51.0
13,3.1,4.5,83.0
14,2.5,5.0,72.0
15,4.1,5.5,29.0
16,4.6,4.3,90.0
17,3.9,4.8,138.9
18,4.6,6.8,17.6
19,3.1,5.1,24.0
20,4.8,5.1,67.2
21,1.0,4.2,88.0
22,5.9,5.0,31.0
23,3.4,4.8,54.0
24,2.0,4.6,72.0
25,4.3,4.6,17.0
26,4.6,5.1,26.4
27,4.1,4.7,28.0
28,3.8,4.7,24.0
29,4.7,4.5,59.0
30,1.0,4.5,108.0
31,2.7,4.5,85.0
32,3.1,4.5,100.0
33,2.2,4.5,107.0
34,1.0,4.5,51.0
35,1.0,4.5,70.0
36,1.0,4.5,62.0
37,2.0,4.5,64.0
38,1.0,4.5,60.0
39,5.1,5.0,25.0
40,2.0,5.0,53.0
41,2.5,5.0,41.0
42,5.8,5.0,50.0
43,2.5,5.0,59.6
44,4.8,5.5,21.0
45,2.0,4.3,102.0
46,3.9,4.3,123.2
47,2.5,4.8,58.0
48,4.6,4.8,90.0
49,3.8,4.8,52.1
50,4.3,4.6,47.0
51,3.4,5.1,31.0
52,2.7,4.4,84.0
53,3.8,4.4,62.0
54,4.3,4.4,102.0
55,1.0,4.4,53.0
56,1.0,4.4,94.0
57,1.0,4.4,122.0
58,2.4,4.9,132.0
59,2.5,4.9,94.0
60,3.4,4.9,55.0
61,4.1,4.9,51.0
62,1.0,4.2,65.0
63,6.2,4.7,50.0
64,2.6,4.7,94.0
65,2.7,4.7,106.0
66,4.1,4.7,62.0
67,1.0,4.7,56.0
68,4.2,5.2,24.0
69,5.0,5.2,57.4
70,2.4,5.7,48.0
71,2.7,6.2,45.5
72,3.8,6.7,22.0
73,8.0,7.2,50.2
74,3.8,4.5,85.0
75,2.9,4.5,78.0
76,5.3,5.0,73.0
77,3.1,5.0,61.0
78,5.7,5.5,47.0
79,6.7,7.3,15.5
80,3.4,4.6,76.0
81,3.8,4.6,110.0
82,6.6,5.1,40.0
83,5.0,5.6,67.0
84,5.2,5.6,35.0
85,3.1,4.4,91.0
86,2.0,4.4,100.0
87,3.4,4.9,66.0
88,3.8,4.7,100.0
89,1.0,4.4,56.0
90,4.1,5.4,24.0
91,2.2,4.5,65.0
92,2.0,4.3,52.0
93,1.0,4.6,63.0
94,3.4,5.1,56.0
95,4.3,4.4,74.0
96,3.4,4.7,54.0
97,4.4,5.2,29.0
98,5.0,5.3,21.0
99,2.9,4.6,87.0
100,3.9,4.4,54.0
101,5.2,4.0,99.0
102,1.0,4.0,93.0
103,3.8,4.5,81.0
104,3.1,5.0,52.0
105,3.8,3.4,177.0
106,1.0,4.3,177.0
107,2.0,4.6,140.0
108,4.3,3.2,161.0
109,5.6,4.9,42.0
110,1.0,4.9,54.0
111,5.2,6.9,23.7
112,2.0,4.2,155.0
113,1.0,4.2,140.0
114,3.6,4.7,42.0
115,1.0,4.7,51.0
116,2.0,5.2,29.0
117,3.1,5.7,51.0
118,3.1,4.5,80.0
119,1.0,4.5,82.0
120,4.9,5.5,73.0
121,4.8,5.1,64.7
122,6.4,4.7,80.0
123,3.4,5.2,41.6
124,2.0,4.5,33.0
125,5.0,5.5,45.0
126,4.9,4.6,57.0
127,6.5,5.7,20.0
128,4.3,4.5,93.0
129,4.1,4.3,105.0
130,5.2,4.7,64.0
131,1.0,4.5,61.0
132,1.0,4.3,104.0
133,3.0,4.8,26.7
134,1.0,4.1,41.0
135,5.6,4.6,35.0
136,2.2,4.6,71.0
137,1.0,4.4,52.0
138,1.0,4.4,73.0
139,2.7,4.4,52.3
140,2.1,4.7,56.0
141,1.0,4.7,56.0
142,2.3,4.7,56.0
143,4.5,4.5,37.0
144,4.3,4.5,102.0
145,4.9,5.0,58.0
146,5.3,6.0,32.0
147,3.4,4.3,89.0
148,3.8,4.3,44.0
149,2.7,4.8,59.0
150,5.4,4.8,37.0
151,5.3,4.8,62.0
152,3.4,4.8,83.0
153,6.1,4.8,53.0
154,2.0,4.6,77.0
155,1.0,4.6,48.0
156,1.0,4.6,45.0
157,5.6,5.1,65.0
158,3.4,5.1,32.0
159,4.1,4.4,55.0
160,2.0,4.4,81.0
161,4.3,4.9,83.0
162,3.8,4.9,44.4
163,2.0,4.7,49.0
164,3.1,4.7,48.0
165,2.7,4.7,103.0
166,4.8,4.7,79.0
167,4.3,4.7,52.0
168,4.3,4.7,58.6
169,5.4,4.7,52.6
170,3.7,5.7,31.3
171,3.1,4.5,51.0
172,3.9,4.5,76.0
173,1.0,4.5,60.0
174,3.1,4.3,56.0
175,2.0,4.4,30.0
176,3.1,4.4,30.0
177,4.0,5.0,61.2
178,3.1,4.1,102.0
179,2.0,3.7,101.0
180,1.0,4.4,61.0
181,3.8,4.9,46.4
182,3.6,4.0,96.0
183,1.0,4.0,56.0
184,1.0,4.0,77.0
185,3.4,4.0,129.3
186,2.0,4.5,38.0
187,1.0,4.5,117.0
188,2.2,4.5,47.0
189,2.0,4.5,48.0
190,2.0,4.5,62.0
191,2.0,4.5,106.0
192,2.7,4.5,47.0
193,2.0,4.5,81.0
194,2.2,4.5,63.0
195,1.0,4.5,28.0
196,1.0,4.5,31.0
197,5.2,4.5,58.0
198,2.2,4.5,66.0
199,1.0,4.5,121.0
200,1.0,4.5,150.0
201,1.0,4.5,54.0
202,3.4,5.0,68.0
203,2.2,5.0,24.0
204,3.9,5.0,46.6
205,3.4,5.0,44.8
206,3.8,5.0,46.7
207,3.7,4.3,125.0
208,2.6,4.3,36.0
209,2.7,4.3,92.0
210,1.0,4.3,60.0
211,2.0,4.3,76.0
212,3.0,4.3,61.0
213,2.6,4.3,67.0
214,3.9,4.3,43.0
215,2.0,4.3,45.0
216,1.0,4.3,54.0
217,2.9,4.3,38.0
218,1.0,4.3,96.0
219,4.1,4.3,47.0
220,1.0,4.3,49.0
221,1.0,4.3,83.0
222,1.0,4.3,70.0
223,1.0,4.3,55.0
224,1.0,4.3,68.0
225,2.0,4.3,46.0
226,1.0,4.3,167.0
227,1.0,4.3,151.0
228,1.0,4.3,146.0
229,1.0,4.3,53.0
230,1.0,4.3,80.0
231,3.9,4.3,42.7
232,2.0,4.8,30.0
233,2.2,4.8,49.0
234,3.4,4.8,35.0
235,3.4,4.8,34.0
236,3.4,4.8,40.0
237,3.4,4.8,36.0
238,3.8,4.8,29.7
239,3.0,4.8,46.3
240,3.6,4.8,47.0
241,4.6,5.3,30.0
242,5.7,5.3,33.4
243,5.1,5.3,34.1
244,1.0,4.1,120.0
245,1.0,4.1,112.0
246,2.7,4.1,76.0
247,1.0,4.1,67.0
248,1.0,4.1,69.0
249,1.0,4.1,94.0
250,1.0,4.1,70.0
251,1.0,4.1,66.0
252,2.2,4.6,35.0
253,4.1,4.6,41.0
254,4.9,4.6,47.0
255,3.1,4.6,59.0
256,3.4,4.6,48.0
257,4.3,4.6,60.0
258,1.0,4.6,155.0
259,3.4,4.6,41.0
260,2.7,4.6,36.0
261,2.9,4.6,40.0
262,2.8,4.6,47.0
263,3.1,4.6,40.0
264,2.7,4.6,46.7
265,4.3,5.1,30.0
266,3.8,5.1,33.0
267,4.8,5.1,30.2
268,4.6,5.1,46.7
269,5.3,4.4,32.0
270,1.0,4.4,53.0
271,2.0,4.4,43.0
272,2.2,4.4,42.0
273,2.0,4.4,76.0
274,2.0,4.4,65.0
275,3.1,4.4,72.0
276,1.0,4.4,107.0
277,1.0,4.4,30.0
278,3.4,4.4,38.0
279,1.0,4.4,80.0
280,1.0,4.4,47.0
281,1.0,4.4,49.0
282,1.0,4.4,42.0
283,1.0,4.4,42.0
284,1.0,4.4,41.0
285,1.0,4.4,80.0
286,3.4,4.4,68.0
287,3.4,4.4,122.8
288,2.7,4.4,43.0
289,4.3,4.9,43.0
290,2.0,4.9,52.0
291,3.4,4.9,26.0
292,3.8,4.9,41.0
293,3.7,4.9,75.0
294,4.8,4.9,35.0
295,3.6,4.9,29.0
296,2.2,4.9,38.0
297,3.1,4.9,66.0
298,3.4,4.9,33.7
299,2.2,4.9,28.6
300,6.1,5.4,43.0
301,5.4,5.4,47.0
302,5.0,5.4,46.6
303,3.4,4.2,62.0
304,2.0,4.2,83.0
305,2.0,4.2,65.0
306,1.0,4.2,81.0
307,1.0,4.2,149.0
308,1.0,4.2,42.0
309,1.0,4.2,41.0
310,1.0,4.2,52.0
311,1.0,4.2,109.0
312,1.0,4.2,85.0
313,1.0,4.2,80.0
314,1.0,4.2,58.0
315,1.0,4.2,176.0
316,1.0,4.2,81.0
317,4.3,4.7,30.0
318,3.1,4.7,47.0
319,3.4,4.7,60.0
320,3.4,4.7,35.0
321,3.1,4.7,64.0
322,2.2,4.7,43.0
323,3.8,4.7,64.0
324,4.1,4.7,39.0
325,3.6,4.7,37.0
326,3.1,4.7,43.0
327,2.2,4.7,37.0
328,1.0,4.7,42.0
329,1.0,4.7,70.0
330,1.0,4.7,86.0
331,3.8,4.7,46.0
332,4.1,4.7,33.8
333,4.8,4.7,46.7
334,4.1,5.2,37.0
335,4.1,5.2,62.0
336,6.4,5.2,23.0
337,5.9,6.2,13.0
338,2.0,4.3,68.0
339,4.6,5.1,35.0
340,1.0,4.4,61.0
341,1.0,4.4,51.0
342,3.4,4.9,68.0
343,2.5,4.9,42.0
344,6.1,4.7,41.0
345,2.0,5.2,23.0
346,3.8,4.0,72.0
347,2.2,4.0,87.0
348,2.7,3.8,153.0
349,5.9,5.9,26.4
350,1.0,4.2,69.0
351,2.0,4.2,74.0
352,3.1,4.7,57.0
353,2.6,5.2,42.0
354,2.2,4.5,146.0
355,3.1,4.5,93.0
356,3.1,4.5,80.0
357,3.9,4.5,86.8
358,4.3,4.5,64.6
359,3.4,4.5,81.7
360,6.0,5.0,52.0
361,2.2,5.0,55.0
362,2.7,5.0,63.0
363,6.0,5.0,52.4
364,3.1,4.3,53.0
365,3.0,4.3,56.0
366,4.1,4.8,52.0
367,3.9,4.8,64.0
368,4.3,4.8,69.0
369,2.2,4.6,81.0
370,2.0,4.6,105.0
371,3.8,4.6,91.0
372,3.4,4.6,33.0
373,3.4,4.6,66.4
374,4.6,4.6,91.6
375,3.2,4.6,61.0
376,6.0,6.1,20.0
377,2.0,4.4,109.0
378,2.0,4.4,93.0
379,3.4,4.4,78.0
380,3.1,4.4,84.0
381,3.8,4.9,72.0
382,4.4,4.9,86.0
383,4.8,4.9,53.3
384,5.4,4.9,52.5
385,2.0,4.7,77.0
386,4.8,4.7,55.5
387,4.1,4.6,33.0
388,4.9,4.4,37.0
389,2.0,4.5,45.0
390,3.1,6.0,25.0
391,3.9,5.3,47.0
392,2.0,4.6,36.0
393,2.9,4.4,34.0
394,2.0,4.9,28.0
395,2.0,4.5,44.0
396,2.9,4.7,60.0
397,3.4,4.7,61.0
398,2.2,4.6,43.0
399,2.2,4.6,99.0
400,3.7,4.8,131.0
401,3.1,4.3,98.0
402,3.1,4.5,64.0
403,4.2,5.2,39.0
404,2.7,4.0,85.0
405,1.0,4.0,72.0
406,1.0,4.5,57.0
407,2.7,5.5,42.2
408,1.0,4.8,80.0
409,3.1,5.3,24.0
410,6.2,6.3,14.0
411,2.2,4.1,66.0
412,1.0,4.1,56.0
413,2.7,4.1,64.0
414,2.0,5.1,31.8
415,7.5,5.1,104.5
416,4.3,6.1,28.0
417,2.7,4.4,34.0
418,2.0,4.4,44.0
419,1.0,4.7,53.0
420,2.2,4.7,65.6
421,4.1,4.7,72.1
422,2.7,5.2,55.0
423,2.5,5.2,23.0
424,1.0,4.0,57.0
425,6.1,4.5,52.0
426,3.4,4.5,63.0
427,4.3,4.5,65.0
428,4.5,4.6,42.0
429,4.8,5.1,70.6
430,5.3,5.1,59.5
431,2.5,3.7,96.0
432,3.2,4.2,90.0
433,1.0,4.2,43.0
434,4.8,5.2,39.0
435,3.4,3.9,124.0
436,6.3,4.5,94.0
437,4.6,4.5,84.0
438,1.0,4.5,130.0
439,1.0,4.5,101.0
440,1.0,4.5,67.0
441,4.1,5.0,59.0
442,3.8,5.0,89.0
443,5.4,5.5,57.0
444,1.0,4.3,84.0
445,2.7,4.3,73.8
446,2.2,4.8,31.6
447,5.0,5.3,61.0
448,7.5,6.3,25.0
449,3.8,5.1,47.0
450,3.4,4.9,55.0
451,5.0,4.9,96.0
452,3.1,4.9,57.0
453,2.5,4.9,80.0
454,1.0,4.9,54.0
455,1.0,4.2,100.0
456,3.1,4.7,101.0
457,3.1,4.7,104.4
458,3.8,5.2,31.0
459,1.0,4.0,71.0
460,3.8,4.5,56.0
461,1.0,4.5,59.0
462,1.0,4.3,60.0
463,1.0,4.3,48.0
464,1.0,4.3,67.0
465,3.8,4.8,70.0
466,3.8,4.6,61.0
467,3.6,4.4,113.0
468,1.0,4.4,52.0
469,2.0,4.9,23.0
470,4.1,4.2,103.0
471,1.0,4.0,121.0
472,2.7,4.5,96.0
473,2.7,4.5,122.0
474,4.3,5.5,36.4
475,1.0,4.3,119.0
476,1.0,4.3,82.0
477,1.0,4.3,52.0
478,3.6,4.8,124.0
479,2.2,4.6,99.0
480,4.3,5.1,55.5
481,2.7,4.9,116.0
482,3.4,4.9,60.0
483,2.2,4.7,102.0
484,3.4,4.7,106.6
485,5.3,6.2,64.1
486,2.7,4.0,155.0
487,2.2,4.0,173.0
488,1.0,4.0,131.0
489,1.0,4.0,145.0
490,1.0,4.0,180.0
491,2.7,4.5,91.0
492,2.5,4.5,126.0
493,3.1,4.5,126.0
494,3.8,4.5,124.0
495,3.8,4.5,116.0
496,1.0,4.5,114.0
497,2.2,4.5,124.0
498,3.4,4.5,136.0
499,2.0,4.5,106.0
500,2.2,4.5,126.0
501,3.4,4.5,104.0
502,1.0,4.5,85.0
503,2.2,4.5,120.0
504,3.4,4.5,117.0
505,2.7,4.5,116.0
506,2.9,4.5,117.0
507,3.9,4.5,112.0
508,1.0,4.5,53.0
509,4.6,4.5,116.0
510,3.1,4.5,137.0
511,2.7,4.5,127.0
512,3.1,4.5,124.0
513,3.8,4.5,117.0
514,3.5,4.5,78.0
515,2.2,4.5,166.0
516,2.9,4.5,128.0
517,3.4,4.5,125.0
518,3.3,4.5,135.0
519,2.7,4.5,154.0
520,3.4,4.5,113.0
521,3.4,4.5,124.0
522,1.0,4.5,144.0
523,1.0,4.5,121.0
524,1.0,4.5,98.0
525,1.0,4.5,117.0
526,1.0,4.5,128.0
527,3.1,4.5,109.0
528,1.0,4.5,83.0
529,1.0,4.5,134.0
530,1.0,4.5,125.0
531,1.0,4.5,116.0
532,1.0,4.5,84.0
533,1.0,4.5,138.0
534,1.0,4.5,117.0
535,3.1,4.5,118.0
536,1.0,4.5,101.0
537,1.0,4.5,115.0
538,2.7,4.5,117.0
539,1.0,4.5,105.0
540,1.0,4.5,124.0
541,1.0,4.5,120.0
542,1.0,4.5,121.0
543,1.0,4.5,125.0
544,1.0,4.5,124.0
545,1.0,4.5,127.0
546,1.0,4.5,169.0
547,1.0,4.5,119.0
548,1.0,4.5,124.0
549,1.0,4.5,125.0
550,1.0,4.5,133.0
551,1.0,4.5,124.0
552,1.0,4.5,143.0
553,3.1,4.5,129.0
554,1.0,4.5,140.0
555,1.0,4.5,100.0
556,1.0,4.5,100.0
557,1.0,4.5,157.0
558,1.0,4.5,121.0
559,1.0,4.5,135.0
560,1.0,4.5,121.0
561,3.4,4.5,108.0
562,3.9,4.5,134.0
563,4.8,4.5,119.0
564,3.8,4.5,82.3
565,3.4,4.5,110.6
566,4.7,4.5,107.7
567,3.1,4.5,120.0
568,2.7,5.0,92.0
569,2.7,5.0,119.0
570,3.4,5.0,83.0
571,3.8,5.0,93.0
572,2.7,5.0,106.0
573,3.3,5.0,103.0
574,1.0,5.0,94.0
575,2.2,5.0,123.0
576,2.0,5.0,133.0
577,3.1,5.0,42.0
578,3.1,5.0,85.0
579,4.1,5.0,81.0
580,1.0,5.0,110.0
581,1.0,5.0,63.0
582,1.0,5.0,88.0
583,1.0,5.0,51.0
584,4.1,5.0,78.0
585,5.4,5.0,84.0
586,3.1,5.0,76.0
587,5.3,5.0,23.7
588,3.4,5.0,22.3
589,4.8,5.0,79.8
590,2.2,5.0,117.2
591,4.8,5.0,118.9
592,2.8,5.0,103.3
593,3.1,5.0,92.3
594,3.8,5.0,80.8
595,3.9,5.0,112.7
596,6.1,5.5,62.0
597,1.0,5.5,54.0
598,6.3,5.5,63.0
599,1.0,5.5,29.0
600,4.6,5.5,42.0
601,5.4,5.5,40.0
602,5.4,5.5,40.0
603,4.6,5.5,17.4
604,3.4,5.5,69.4
605,5.0,5.5,50.6
606,2.2,6.0,52.0
607,5.8,6.0,57.0
608,1.0,6.0,19.0
609,1.0,6.0,30.0
610,7.7,6.0,20.2
611,3.3,3.9,160.5
612,2.7,4.3,135.0
613,3.4,4.3,158.0
614,4.1,4.3,168.0
615,1.0,4.3,126.0
616,3.4,4.3,123.0
617,2.7,4.3,151.0
618,2.7,4.3,112.0
619,2.0,4.3,172.0
620,2.0,4.3,112.0
621,3.1,4.3,135.0
622,4.1,4.3,112.0
623,2.0,4.3,129.0
624,1.0,4.3,118.0
625,2.7,4.3,156.0
626,2.7,4.3,135.0
627,4.1,4.3,159.0
628,1.0,4.3,153.0
629,1.0,4.3,151.0
630,1.0,4.3,159.0
631,1.0,4.3,135.0
632,1.0,4.3,145.0
633,1.0,4.3,161.0
634,1.0,4.3,130.0
635,1.0,4.3,118.0
636,1.0,4.3,110.0
637,1.0,4.3,136.0
638,1.0,4.3,169.0
639,1.0,4.3,116.0
640,2.7,4.3,127.0
641,1.0,4.3,125.0
642,1.0,4.3,160.0
643,2.7,4.3,157.0
644,1.0,4.3,135.0
645,1.0,4.3,110.0
646,1.0,4.3,143.0
647,1.0,4.3,137.0
648,1.0,4.3,180.0
649,1.0,4.3,159.0
650,3.1,4.8,108.0
651,3.1,4.8,99.0
652,4.0,4.8,89.0
653,4.3,4.8,62.0
654,2.0,4.8,103.0
655,1.0,4.8,72.0
656,3.9,4.8,126.0
657,2.6,4.8,130.0
658,2.2,4.8,105.0
659,3.8,4.8,123.0
660,2.0,4.8,86.0
661,1.0,4.8,137.0
662,1.0,4.8,97.0
663,4.6,4.8,39.0
664,3.8,4.8,116.0
665,3.4,4.8,129.0
666,3.8,4.8,116.0
667,2.0,4.8,117.0
668,5.4,4.8,111.0
669,4.1,4.8,114.0
670,1.0,4.8,144.0
671,1.0,4.8,100.0
672,3.1,4.8,110.0
673,1.0,4.8,121.0
674,1.0,4.8,93.0
675,1.0,4.8,119.0
676,1.0,4.8,91.0
677,1.0,4.8,151.0
678,1.0,4.8,59.0
679,1.0,4.8,118.0
680,1.0,4.8,106.0
681,1.0,4.8,105.0
682,2.0,4.8,108.0
683,4.3,4.8,102.0
684,3.8,4.8,100.0
685,4.1,4.8,82.9
686,3.8,4.8,120.7
687,5.3,4.8,100.8
688,2.7,4.8,112.5
689,2.0,4.8,109.8
690,2.0,4.8,94.4
691,2.2,4.8,115.8
692,4.1,4.8,75.9
693,3.8,4.8,96.5
694,2.0,5.3,28.0
695,3.4,5.3,71.0
696,2.9,5.3,40.0
697,3.4,5.3,46.0
698,4.1,5.3,93.0
699,3.8,5.3,49.0
700,4.3,5.3,62.0
701,4.1,5.3,17.0
702,4.4,5.3,29.0
703,3.8,5.3,101.0
704,1.0,5.3,39.0
705,1.0,5.3,28.0
706,1.0,5.3,40.0
707,3.8,5.3,22.0
708,3.1,5.3,22.2
709,4.6,5.3,46.2
710,4.9,5.3,26.0
711,4.6,5.3,41.2
712,4.3,5.3,79.7
713,3.0,5.3,104.5
714,1.0,5.8,41.0
715,6.2,5.8,40.0
716,4.1,5.8,15.0
717,2.0,5.8,15.0
718,2.7,5.8,14.0
719,3.8,5.8,30.0
720,2.8,5.8,31.0
721,5.4,5.8,14.2
722,3.9,5.8,30.0
723,5.0,5.8,23.6
724,4.1,5.8,15.4
725,3.1,3.8,139.0
726,2.9,3.8,154.0
727,1.0,4.1,163.0
728,3.1,4.1,104.0
729,2.7,4.1,154.0
730,2.0,4.1,168.0
731,1.0,4.1,134.0
732,1.0,4.1,132.0
733,1.0,4.1,163.0
734,1.0,4.1,147.0
735,1.0,4.1,172.0
736,1.0,4.1,125.0
737,2.0,4.6,46.0
738,4.3,4.6,85.0
739,2.0,4.6,137.0
740,2.2,4.6,136.0
741,2.2,4.6,126.0
742,1.0,4.6,117.0
743,2.7,4.6,106.0
744,2.7,4.6,119.0
745,1.0,4.6,127.0
746,3.4,4.6,142.0
747,1.0,4.6,117.0
748,4.3,4.6,107.0
749,2.7,4.6,126.0
750,2.2,4.6,81.0
751,3.3,4.6,102.0
752,3.4,4.6,120.0
753,3.4,4.6,125.0
754,2.7,4.6,119.0
755,2.7,4.6,126.0
756,3.4,4.6,138.0
757,3.1,4.6,139.0
758,3.1,4.6,153.0
759,2.7,4.6,128.0
760,1.0,4.6,132.0
761,2.7,4.6,141.0
762,3.1,4.6,136.0
763,1.0,4.6,103.0
764,2.9,4.6,138.0
765,3.1,4.6,89.0
766,3.1,4.6,101.0
767,3.8,4.6,124.0
768,2.2,4.6,144.0
769,4.1,4.6,117.0
770,1.0,4.6,149.0
771,1.0,4.6,50.0
772,1.0,4.6,70.0
773,1.0,4.6,106.0
774,1.0,4.6,127.0
775,1.0,4.6,45.0
776,1.0,4.6,138.0
777,1.0,4.6,130.0
778,1.0,4.6,137.0
779,1.0,4.6,113.0
780,1.0,4.6,133.0
781,1.0,4.6,136.0
782,3.1,4.6,127.0
783,1.0,4.6,110.0
784,1.0,4.6,126.0
785,1.0,4.6,109.0
786,1.0,4.6,104.0
787,1.0,4.6,116.0
788,1.0,4.6,105.0
789,1.0,4.6,135.0
790,2.0,4.6,113.0
791,1.0,4.6,125.0
792,1.0,4.6,169.0
793,2.7,4.6,113.0
794,1.0,4.6,114.0
795,1.0,4.6,62.0
796,3.2,4.6,115.0
797,1.0,4.6,144.0
798,1.0,4.6,128.0
799,1.0,4.6,66.0
800,1.0,4.6,154.0
801,1.0,4.6,121.0
802,1.0,4.6,127.0
803,1.0,4.6,62.0
804,1.0,4.6,76.0
805,1.0,4.6,126.0
806,1.0,4.6,124.0
807,3.4,4.6,112.0
808,4.8,4.6,126.7
809,3.8,4.6,93.9
810,3.1,4.6,110.2
811,3.1,4.6,107.6
812,2.8,4.6,112.3
813,2.9,4.6,116.6
814,4.1,4.6,118.3
815,2.2,4.6,108.5
816,4.0,4.6,96.2
817,1.0,5.1,94.0
818,4.5,5.1,28.0
819,3.8,5.1,96.0
820,4.3,5.1,96.0
821,2.2,5.1,111.0
822,1.0,5.1,22.0
823,6.0,5.1,65.0
824,1.0,5.1,43.0
825,1.0,5.1,103.0
826,1.0,5.1,26.0
827,1.0,5.1,56.0
828,5.3,5.1,66.0
829,4.8,5.1,44.6
830,3.1,5.1,87.0
831,2.2,5.1,50.3
832,5.2,5.1,54.4
833,3.4,5.1,46.1
834,5.4,5.1,65.0
835,3.9,5.1,119.0
836,2.7,5.1,71.4
837,5.3,5.6,39.0
838,4.5,5.6,100.0
839,1.0,5.6,25.0
840,4.6,5.6,42.2
841,3.4,5.6,17.7
842,3.8,5.6,67.8
843,5.3,5.6,34.8
844,2.7,5.6,28.0
845,4.2,5.6,21.1
846,2.2,6.1,19.0
847,3.4,6.1,10.8
848,4.3,6.1,63.5
849,4.1,6.1,22.6
850,3.4,6.1,20.8
851,4.3,6.6,14.1
852,3.1,3.2,147.0
853,4.3,4.4,131.0
854,2.7,4.4,96.0
855,2.2,4.4,134.0
856,3.1,4.4,144.0
857,3.4,4.4,108.0
858,2.2,4.4,148.0
859,1.0,4.4,141.0
860,2.7,4.4,84.0
861,2.7,4.4,101.0
862,2.7,4.4,127.0
863,2.9,4.4,146.0
864,3.4,4.4,124.0
865,2.0,4.4,84.0
866,3.8,4.4,137.0
867,3.1,4.4,80.0
868,2.0,4.4,81.0
869,2.2,4.4,93.0
870,4.3,4.4,119.0
871,2.7,4.4,143.0
872,2.0,4.4,121.0
873,3.4,4.4,123.0
874,2.8,4.4,162.0
875,2.0,4.4,155.0
876,1.0,4.4,137.0
877,1.0,4.4,112.0
878,1.0,4.4,131.0
879,1.0,4.4,123.0
880,1.0,4.4,179.0
881,1.0,4.4,149.0
882,1.0,4.4,110.0
883,2.9,4.4,150.0
884,2.7,4.4,156.0
885,2.4,4.4,161.0
886,1.0,4.4,169.0
887,1.0,4.4,140.0
888,1.0,4.4,152.0
889,1.0,4.4,136.0
890,2.5,4.4,122.0
891,1.0,4.4,170.0
892,1.0,4.4,108.0
893,1.0,4.4,109.0
894,4.7,4.4,142.0
895,1.0,4.4,113.0
896,1.0,4.4,120.0
897,1.0,4.4,147.0
898,1.0,4.4,122.0
899,1.0,4.4,142.0
900,1.0,4.4,151.0
901,1.0,4.4,144.0
902,1.0,4.4,102.0
903,1.0,4.4,149.0
904,1.0,4.4,144.0
905,1.0,4.4,179.0
906,1.0,4.4,126.0
907,1.0,4.4,124.0
908,1.0,4.4,150.0
909,1.0,4.4,154.0
910,2.2,4.4,108.0
911,1.0,4.4,136.0
912,3.1,4.4,116.0
913,3.8,4.4,111.9
914,3.4,4.4,109.8
915,3.4,4.4,98.6
916,2.0,4.9,114.0
917,4.9,4.9,91.0
918,2.0,4.9,125.0
919,4.1,4.9,113.0
920,3.1,4.9,127.0
921,2.0,4.9,51.0
922,4.1,4.9,67.0
923,4.8,4.9,83.0
924,3.4,4.9,126.0
925,3.1,4.9,114.0
926,3.1,4.9,118.0
927,2.0,4.9,128.0
928,2.7,4.9,99.0
929,3.8,4.9,72.0
930,3.8,4.9,116.0
931,3.8,4.9,117.0
932,4.1,4.9,109.0
933,3.3,4.9,97.0
934,3.6,4.9,112.0
935,2.0,4.9,120.0
936,1.0,4.9,123.0
937,3.4,4.9,122.0
938,1.0,4.9,104.0
939,1.0,4.9,69.0
940,1.0,4.9,63.0
941,2.0,4.9,59.0
942,1.0,4.9,40.0
943,4.1,4.9,135.0
944,6.8,4.9,54.0
945,5.0,4.9,46.5
946,3.4,4.9,107.6
947,4.7,4.9,84.6
948,4.1,4.9,112.7
949,3.1,4.9,101.5
950,2.2,4.9,29.6
951,4.3,4.9,81.6
952,2.4,4.9,69.5
953,2.0,5.4,30.0
954,2.0,5.4,46.0
955,2.7,5.4,42.0
956,3.1,5.4,37.0
957,4.6,5.4,82.0
958,3.8,5.4,54.1
959,4.3,5.4,29.3
960,3.9,5.4,44.0
961,6.0,5.9,29.0
962,5.6,5.9,33.0
963,5.6,5.9,37.0
964,1.0,5.9,34.0
965,4.3,5.9,22.7
966,5.4,6.9,21.1
967,3.1,3.1,177.0
968,1.0,4.2,161.0
969,2.7,4.2,131.0
970,3.1,4.2,156.0
971,2.7,4.2,140.0
972,2.7,4.2,154.0
973,1.0,4.2,112.0
974,2.7,4.2,158.0
975,3.8,4.2,130.0
976,2.7,4.2,158.0
977,3.1,4.2,117.0
978,3.4,4.2,123.0
979,1.0,4.2,141.0
980,1.0,4.2,149.0
981,1.0,4.2,120.0
982,1.0,4.2,170.0
983,2.2,4.2,119.0
984,1.0,4.2,148.0
985,1.0,4.2,141.0
986,1.0,4.2,155.0
987,1.0,4.2,126.0
988,2.7,4.2,167.0
989,1.0,4.2,162.0
990,1.0,4.2,161.0
991,1.0,4.2,151.0
992,1.0,4.2,173.0
993,1.0,4.2,124.0
994,1.0,4.2,154.0
995,1.0,4.2,94.0
996,2.2,4.2,135.0
997,1.0,4.2,145.0
